Kevin,Person,Date,Sport,Legs,#VALUE!,End,#VALUE!,#VALUE!,#VALUE!,Barstool Boost,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Kevin,No,Barstool,Self,Help,Help,,Blank,Box Score,Help,Kevin
Kevin,Person,Date,Sport,Legs,Wager,End,Payout,Description,Notes,Boost,Before,After,To Win,To Profit,Influence,Live,Sportsbook,Venmo,Sponsor,Cash Back?,,,,,
3,Kevin,1/1/2022,NHL,1,$25.00,L,-$25.00,Correct Score 4-2 (St. Louis Blues @ Minnesota Wild),Correct Score 4-2 (St. Louis Blues @ Minnesota Wild),None,2400,2400,$250.69,$250.69,Kevin,No,Fan Duel,Self,,25,,,,-$25.00,
4,Kevin,1/1/2022,NHL,1,$50.00,W,$43.47,Over 6 Total Goals (Carolina Hurricanes @ Columbus Blue Jackets),Over 6 Total Goals (Carolina Hurricanes @ Columbus Blue Jackets),Free Bet,-115,-115,$43.47,$43.47,Mr. Ice,No,DK,Self,,,,,,$43.47,
5,Kevin,1/1/2022,NHL,1,$25.00,L,-$25.00,Over 0.5 Total Goals - First 10 Minutes (St. Louis Blues @ Minnesota Wild),Over 0.5 Total Goals - First 10 Minutes (St. Louis Blues @ Minnesota Wild),DK Special Promo,-140,100,$50.00,$25.00,Kevin,No,DK,Self,BR Betting,,,,,-$25.00,
6,Kevin,1/1/2022,NCAAF,2,$135.91,L,-$135.91,OLE MISS TO WIN VS. BAYLOR AND 50+ TOTAL POINTS,Bet With Mintzy - Back Mintzy: Yes - OLE MISS TO WIN VS. BAYLOR AND 50+ TOTAL POINTS (BOOSTED FROM +140) (1/1),Barstool Boost,140,180,$380.55,$244.64,Kevin,No,Barstool,Self,Mintzy,,,,,-$135.91,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,Kevin,1/2/2022,NFL,4,$50.00,W,$45.45,"The Ringer NFL Boost - Bills -1.5, Buccaneers +0.5, Patriots -2.5, 49ers +0.5 (Must Play 1/2)","The Ringer NFL Boost - Bills -1.5, Buccaneers +0.5, Patriots -2.5, 49ers +0.5 (Must Play 1/2)",FD Boost,-160,-110,$95.45,$45.45,Kevin,No,Fan Duel,Self,,,,,,$45.45,
9,Kevin,1/2/2022,NFL,2,$50.00,L,-$50.00,SNF Flash Boost - Aaron Rodgers to Have 1+ Passing TDs in Each Half v Vikings (1/2),SNF Flash Boost - Aaron Rodgers to Have 1+ Passing TDs in Each Half v Vikings (1/2),FD Boost,-140,100,$100.00,$50.00,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
10,Kevin,1/2/2022,NFL,1,$20.00,CASHED OUT,$0.00,Green Bay Packers ML (Minnesota Vikings @ Green Bay),Green Bay Packers ML (Minnesota Vikings @ Green Bay),None,-700,-700,$22.86,$2.86,Kevin,No,Fan Duel,Self,,,,,,$0.00,
11,Kevin,1/2/2022,NFL,4,$20.00,L,-$20.00,4 leg NFL SGP (Minnesota Vikings @ Green Bay),"4 leg NFL SGP (Minnesota Vikings @ Green Bay). Green Bay Packers - Green Bay Packers Double Result -230, Green Bay Packers -6.5 -220, Aaron Jones - Anytime TD Scorer +105, Aaron Rodgers - Over 255.5 Passing Yards -110. Combined +480, no boost",None,480,480,$116.15,$96.15,Kevin,No,Fan Duel,Self,,,,,,-$20.00,
