,,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Start Time,,,
CRCE,Wednesday,1,31,01/31/18,595,4.51,9:26,09:28,6.344,42,39,0,0,0,,,0,0,595,4.51,42,39,0:42:39,,,,
Arc,Thursday,2,1,02/01/18,676,5.17,9:04,09:05,6.614,46,54,0,0,0,,,0,0,676,5.17,46,54,0:46:54,8:50 PM,,,
Ike,Friday,2,2,02/02/18,368,3.03,9:52,09:55,6.060,30,0,42,0.34,14:40,14:43,4.080,5,0,410,3.37,35,0,0:35:00,,,,
Ike,Saturday,2,3,02/03/18,681,5.68,8:47,08:49,6.816,50,0,24,0.33,15:01,15:10,3.960,5,0,705,6.01,55,0,0:55:00,,,,
,Sunday,2,4,02/04/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Monday,2,5,02/05/18,405,3.37,8:52,08:55,6.740,30,0,25,0.33,15:04,15:10,3.960,5,0,430,3.70,35,0,0:35:00,,,,
Ike,Tuesday,2,6,02/06/18,770,6.43,8:23,08:24,7.144,54,0,24,0.33,14:58,15:10,3.960,5,0,794,6.76,59,0,0:59:00,,,,
Elliptical,Wednesday,2,7,02/07/18,206,1.54,16:22,16:24,3.659,25,15,0,0,0,,,0,0,206,1.54,25,15,0:25:15,,,,
CRCE,Thursday,2,8,02/08/18,698,5.88,7:38,07:40,7.840,45,0,24,0.33,15:04,15:10,3.960,5,0,722,6.21,50,0,0:50:00,,,,
Outside,Friday,2,9,02/09/18,0,4.00,7:40,07:40,7.826,30,40,0,0,0,,,0,0,0,4.00,30,40,0:30:40,,,,
Ike,Saturday,2,10,02/10/18,423,3.53,8:28,08:30,7.060,30,0,24,0.34,15:04,14:43,4.080,5,0,447,3.87,35,0,0:35:00,,,,
Ike,Sunday,2,11,02/11/18,427,3.57,8:23,08:25,7.140,30,0,25,0.34,15:01,14:43,4.080,5,0,452,3.91,35,0,0:35:00,,,,
Ike,Monday,2,12,02/12/18,598,5.02,8:10,08:11,7.346,41,0,25,0.33,15:01,15:10,3.960,5,0,623,5.35,46,0,0:46:00,12:30 PM,,,
,Tuesday,2,13,02/13/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Wednesday,2,14,02/14/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
