Year,Ranking,Song,Album,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6
2018,1,Dreams and Nightmares,Dreams and Nightmares (Deluxe Version),Meek Mill,,,,,
2018,2,Lovebug,A Little Bit Longer,Jonas Brothers,,,,,
2018,3,Switch Lanes,Hotel California (Deluxe Version),Tyga,The Game,,,,
2018,4,Hurts So Good,Astrid S,Astrid S,,,,,
2018,5,Get Her Tho (feat. Tyga),Get Her Tho (feat. Tyga) - Single,D-Lo,Tyga,,,,
2018,6,SICKO MODE,ASTROWORLD,Travis Scott,,,,,
2018,7,Happiness,Talking Pictures,Tyler Kyte,,,,,
2018,8,Hearts On Fire,Hearts On Fire,Gavin James,,,,,
2018,9,10 Bands,If You're Reading This It's Too Late,Drake,,,,,
2018,10,All The Stars (with SZA),Black Panther The Album Music From and Inspired By,Kendrick Lamar,SZA,,,,
2018,11,RGF Island,Fetty Wap (Deluxe),Fetty Wap,,,,,
2018,12,With That (feat. Duke),Barter 6,Young Thug,Duke,,,,
2018,13,Rambo,T R A P S O U L,Bryson Tiller,,,,,
2018,14,Found,I'll Be the Branches,Chris Renzema,,,,,
2018,15,All or Nothing,O-Town,O-Town,,,,,
2018,16,Before the Storm (feat. Miley Cyrus),"Lines, Vines, and Trying Times",Jonas Brothers,Miley Cyrus,,,,
2018,17,Helicopter,Helicopter,TWRK,,,,,
2018,18,Never Say Never,The Fray,The Fray,,,,,
2018,19,Dear God,Dear God,Hunter Hayes,,,,,
2018,20,God's Plan,Scary Hours,Drake,,,,,
2018,21,Sky Walker (feat. Travis Scott),War & Leisure,Miguel,Travis Scott,,,,
2018,22,Burn - feat. Big Sean,Burn (feat. Big Sean),Meek Mill,Big Sean,,,,
2018,23,High Hopes,Pray For The Wicked,Panic! At The Disco,,,,,
2018,24,Model Homes,"We Are an Empire, My Dear",In-Flight Safety,,,,,
2018,25,XO TOUR Llif3,Luv is Rage 2,Lil Uzi Vert,,,,,
2018,26,Man Of The Year,Man Of The Year,ScHoolboy Q,,,,,
2018,27,Evergreens,Future Memoirs,Allan Kingdom,,,,,
2018,28,Quarter Past Midnight,Quarter Past Midnight,Bastille,,,,,
2018,29,All We Got,DWNR,Dem Atlas,,,,,
2018,30,Flexicution,Bobby Tarantino,Logic,,,,,
2018,31,6 Man,If You're Reading This It's Too Late,Drake,,,,,
2018,32,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,21 Savage,,,,
2018,33,Love Lies (with Normani),Love Lies (with Normani),Khalid,Normani,,,,
2018,34,Bobby Bitch,Bobby Bitch,Bobby Shmurda,,,,,
2018,35,1 AM,My Krazy Life,YG,,,,,
2018,36,Where Will I Go,Raw,Hopsin,,,,,
2018,37,Somewhere Only We Know,The Best of Keane (Deluxe Edition),Keane,,,,,
2018,38,Iris,Dizzy Up The Girl,The Goo Goo Dolls,,,,,
2018,39,Break The Bank,Oxymoron (Deluxe),ScHoolboy Q,,,,,
2018,40,A Tale of 2 Citiez,2014 Forest Hills Drive,J. Cole,,,,,
2018,41,2 Soon,Not Thinking Bout 2morrow,Jon Young,,,,,
2018,42,Believe Me,Believe Me,Lil Wayne,Drake,,,,
2018,43,Digits,Slime Season 3,Young Thug,,,,,
2018,44,Perplexing Pegasus,Perplexing Pegasus,Rae Sremmurd,,,,,
2018,45,Bad For You (feat. Nicki Minaj),Dreams Worth More Than Money,Meek Mill,Nicki Minaj,,,,
2018,46,Brother (feat. Gavin DeGraw),Brother,NEEDTOBREATHE,Gavin DeGraw,,,,
2018,47,Televised,Windows I,HUNNY,,,,,
2018,48,Nocturnal Rainbows,Raw,Hopsin,,,,,
2018,49,Build My Life,Housefires III,Housefires,,,,,
