Include,,,,,Run,Cooldown,TOTAL,,,,,Guess,,Notes,,,,,,,,,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Kevin Intensity Meter,Town,Season,,Start Time,Notes,
CRCE,Wednesday,1,31,1/31/18,595,4.51,9:26,9:28,6.344,42,39,0,0,0,,,0,0,595,4.51,42,39,0:42:39,,School,Junior Spring I,,,,
Arc,Thursday,2,1,2/1/18,676,5.17,9:04,9:05,6.614,46,54,0,0,0,,,0,0,676,5.17,46,54,0:46:54,,School,Junior Spring I,,8:50 PM,,
Ike,Friday,2,2,2/2/18,368,3.03,9:52,9:55,6.06,30,0,42,0.34,14:40,14:43,4.08,5,0,410,3.37,35,0,0:35:00,,School,Junior Spring I,,,,
Ike,Saturday,2,3,2/3/18,681,5.68,8:47,8:49,6.816,50,0,24,0.33,15:01,15:10,3.96,5,0,705,6.01,55,0,0:55:00,,School,Junior Spring I,,,,
,Sunday,2,4,2/4/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring I,,,Hurt,
Ike,Monday,2,5,2/5/18,405,3.37,8:52,8:55,6.74,30,0,25,0.33,15:04,15:10,3.96,5,0,430,3.7,35,0,0:35:00,,School,Junior Spring I,,,,
Ike,Tuesday,2,6,2/6/18,770,6.43,8:23,8:24,7.144,54,0,24,0.33,14:58,15:10,3.96,5,0,794,6.76,59,0,0:59:00,,School,Junior Spring I,,,,
Elliptical,Wednesday,2,7,2/7/18,206,1.54,16:22,16:24,3.659,25,15,0,0,0,,,0,0,206,1.54,25,15,0:25:15,,School,Junior Spring I,,,Elliptical,
CRCE,Thursday,2,8,2/8/18,698,5.88,7:38,7:40,7.84,45,0,24,0.33,15:04,15:10,3.96,5,0,722,6.21,50,0,0:50:00,,School,Junior Spring I,,,HARD (for Hope!!),
Outside,Friday,2,9,2/9/18,0,4,7:40,7:40,7.826,30,40,0,0,0,,,0,0,0,4,30,40,0:30:40,,School,Junior Spring I,,,Outside,
Ike,Saturday,2,10,2/10/18,423,3.53,8:28,8:30,7.06,30,0,24,0.34,15:04,14:43,4.08,5,0,447,3.87,35,0,0:35:00,,School,Junior Spring I,,,,
Ike,Sunday,2,11,2/11/18,427,3.57,8:23,8:25,7.14,30,0,25,0.34,15:01,14:43,4.08,5,0,452,3.91,35,0,0:35:00,,School,Junior Spring I,,,,
Ike,Monday,2,12,2/12/18,598,5.02,8:10,8:11,7.346,41,0,25,0.33,15:01,15:10,3.96,5,0,623,5.35,46,0,0:46:00,,School,Junior Spring I,,12:30 PM,,
