Year,Ranking,Song,Album,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Kevin,SongID,AlbumID,Artist1ID,Artist2ID,Artist3ID,Artist4ID,Artist5ID,Artist6ID,ApproxGenre,Topic,Music Video,Album Year,Song Length
2016,1,Paper Hearts,Foreword,Tori Kelly,,,,,,1,https://open.spotify.com/track/4X8jImpljCdt2eDge8OzoQ,https://open.spotify.com/album/44D28vK3JSIQ7oQNAfoeBD,https://open.spotify.com/artist/1vSN1fsvrzpbttOYGsliDr,,,,,,Love,,,2013,3:19
2016,2,Battlefield,Battlefield,Jordin Sparks,,,,,,2,https://open.spotify.com/track/1Nme6K1PYAh7p7uygyuRdf,https://open.spotify.com/album/1ji0b2gTyx4VYtkrbc3XJt,https://open.spotify.com/artist/2AQjGvtT0pFYfxR3neFcvz,,,,,,Pop,,,2009,4:01
2016,3,Know Yourself,If You're Reading This It's Too Late,Drake,,,,,,3,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ,https://open.spotify.com/album/0ptlfJfwGTy0Yvrk14JK1I,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,,,,,,Rap,,,2015,4:35
2016,4,Love Me Harder,Me Everything (Deluxe),Ariana Grande,The Weeknd,,,,,4,https://open.spotify.com/track/5J4ZkQpzMUFojo1CtAZYpn,https://open.spotify.com/album/6EVYTRG1drKdO8OnIQBeEj,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,,,,,Pop,,,2014,3:56
2016,5,Hollow,Unbreakable Smile,Tori Kelly,,,,,,5,https://open.spotify.com/track/6QeJEhEoMNqsn2yhCvG3jc,https://open.spotify.com/album/2mH2TVd6euTmrn9Pcw9XHS,https://open.spotify.com/artist/1vSN1fsvrzpbttOYGsliDr,,,,,,Love,,,2016,3:31
2016,6,Far Away,All The Right Reasons (Special Edition),Nickelback,,,,,,6,https://open.spotify.com/track/0G53JYumT2vVxRGOtROlXk,https://open.spotify.com/album/69ny9Y7VrjVP7JNK0xhYke,https://open.spotify.com/artist/6deZN1bslXzeGvOLaLMOIF,,,,,,Rock,,,2005,3:58
2016,7,Jumpman,What A Time To Be Alive,Drake,Future,,,,,7,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ,https://open.spotify.com/album/1ozpmkWcCHwsQ4QTnxOOdT,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,,,,,Rap,,,2015,3:25
2016,8,Starting Over (feat. Ben Bridwell),The Heist,Macklemore & Ryan Lewis,Ben Bridwell,,,,,8,https://open.spotify.com/track/0icgqJ0w9uKcxKkTRG262L,https://open.spotify.com/album/6XO9dbsH9zhuQgFGH0hUrb,https://open.spotify.com/artist/5BcAKTbp20cv7tC5VqPFoC,https://open.spotify.com/artist/6Vfn70eqp3AgtiZZtQcv4W,,,,,Rap,,,2012,4:11
2016,9,Fight Night,No Label II,Migos,,,,,,9,https://open.spotify.com/track/2n5gVJ9fzeX2SSWlLQuyS9,https://open.spotify.com/album/56PJDByaunMWwCqs5rV3Nc,https://open.spotify.com/artist/6oMuImdp5ZcFhWP0ESe6mG,,,,,,Rap,,,2014,3:36
2016,10,Live Your Life - feat. Rihanna,Paper Trail,T.I.,Rihanna,,,,,10,https://open.spotify.com/track/16GHcGtW9Io7AuVdNmTjv3,https://open.spotify.com/album/68E0atuSszPQYckBQ6cQnv,https://open.spotify.com/artist/4OBJLual30L7gRl5UkeRcT,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,,,,,Pop,,,2008,5:38
2016,11,Animal,Habits,Neon Trees,,,,,,11,https://open.spotify.com/track/1fBl642IhJOE5U319Gy2Go,https://open.spotify.com/album/7xpjpdislqMXOCw5xsDt4g,https://open.spotify.com/artist/0RpddSzUHfncUWNJXKOsjy,,,,,,Pop,,,2010,3:32
