Kevin,Korean,Confirmed Duolingo Romanization,#VALUE!,#VALUE!
1,얹,eon,,
2,꽃,kkot,,
3,갖,gat,,
4,꽃히,kkochi,,
5,그렇지,geureochi,,
6,노랗다,norata,,
7,핥,hal,,
8,몫,mok,,
9,놆,nop,,
10,앉,an,,
11,흙,heuk,,
12,덟,deol,,
13,얇,yal,,
14,앞,ap,,
15,앞문,ammun,,
16,흙으로,heulgeuro,,
17,덟,deol,,
18,짧,jjal,,
19,읽,ik,,
20,옮,om,,
21,찮다,chanta,,
22,여덟,yeodeol,,
23,옮다,omda,,
24,앉으면,anjeumyeon,,
25,점젆다,?,,
26,얹지,eonji,,
27,옰에,olse,,
28,얇아,yalba,,
29,젊,jeom,,
30,없지,eopji,,
31,없으면,eopseumyeon,,
32,닮았다,dalmatda,,
33,않고,anko,,
34,앉고,ango,,
35,읽지,ikji,,
36,옳다,olta,,
37,싫,sil,,
38,없,eop,,
39,많지,manchi,,
40,읽다,ikda,,
41,싫고,silko,,
42,핥다,halda,,
43,짧다,jjalda,,
44,삶아,salma,,
45,옮다,omda,,
46,닮아,dalma,,
47,많지,manchi,,
48,국화,gukwa,,
49,싶어요,sipeoyo,,
50,된장,doenjang,,
51,옰게,olge,,
52,핥다요,haltayo,???,
53,짧아,jjalba,,
54,곲,gop,,
55,덟다,deolda,,
56,횃,hwaet,,
57,부엌에,bueoke,,
58,읊고,eupgo,,
59,옮아요,olmayo,,
60,않다,anta,,
61,굶고,gumgo,,
62,뒷길,dwitgil,,
63,옮길,omgil,,
64,묶아,mukka,,
65,월요일,woryoil,,
66,핥아요,haltayo,,
67,읊어요,eulpeoyo,,
68,꽃인데,kkochinde,,
69,짧고,jjalgo,,
70,벗어,beoseo,,
71,얇게,yalge,,
72,홅아요,holtayo,,
73,닦아요,dakkayo,,
74,곬에서,golseseo,,
75,굺,gup,,
76,덟다,deolda,,
77,곬도,goldo,,
78,싫고,silko,,
79,닮다,damda,,
80,입,ip,,
81,입니,imni,,
82,입맛,immat,,
83,밥,bap,,
84,밥맛,bammat,,
85,집목,jimmok,,
86,잎몸,immom,,
87,잎눈,imnun,,
88,입니,imni,,
89,밥맛,bammat,,
90,밥만,bamman,,
91,앞문,ammun,,
92,습니다,seumnida,,
93,갑문식,gammunsik,,
94,습니까,seumnikka,,
95,앞마당,ammadang,,
96,입니다,imnida,,
97,갑문식,gammunsik,,
98,옵니다,omnida,,
99,밥만,bamman,,
100,잎눈,imnun,,
101,합명,hammyeong,,
102,입니,imni,,
103,입맛,immat,,
104,믿,mit,,
105,믿는,minneun,,
106,끝,kkeut,,
107,끝나,kkeunna,,
108,몇,myeot,,
109,몇년,myeonnyeon,,
110,붓,but,,
111,붓는,bunneun,,
112,맑은,malgeun,,
113,값이,gapsi,,
114,읽이,ilgi,,
115,얇아,yalba,,
116,짧게,jjalge,,
117,닮아,dalma,,
118,없어요,eopseoyo,,
119,삶다가,samdaga,,
120,읽으니,ilgeuni,,
121,짧다가,jjaldaga,,
122,닮았다,dalmatda,,
123,얇아서,yalbaseo,,
124,읽어요,ilgeoyo,,
125,앉아요,anjayo,,
126,없다,eopda,,
127,닭이,dalgi,,
128,얇게,yalge,,
129,여덟,yeodeol,,
130,앉아,anja,,
131,앉다,anda,,
132,닭으로,dalgeuro,,
133,닮아서,dalmaseo,,
134,얹어서,eonjeoseo,,
135,닭들이,dakdeuli,,
136,없어서,eopseoseo,,
137,밟을까,balbeulkka,,
138,갂아요,gakkayo,,
139,짧게,jjalge,,
140,닭다,dakda,,
141,곬이,golsi,,
142,월요일,woryoil,,
143,핥아,halta,,
144,읊다,eupda,,
145,맑은,malgeun,,
146,얇다,yalda,,
147,물곬,mulgol,,
148,굶고,gumgo,,
149,곬에서,golseseo,,
150,밝아,balga,,
151,핥지,halji,,
152,했다,haetda,,
153,않아,ana,,
154,월요일,woryoil,,
155,얇아서,yalbaseo,,
156,읊고,eupgo,,
157,봐,bwa,,
158,깊어요,gipeoyo,,
159,밟을까,balbeulkka,,
160,얇으면,yalbeumyeon,,
161,밝다,bakda,,
162,없어,eopseo,,
163,좁히다,jopida,,
164,얇다,yalda,,
165,읊에,eulpe,,
166,읊에,eulpe,,
167,방에,bange,,
168,짧아,jjalba,,
169,짧다가,jjaldaga,,
170,없지,eopji,,
171,믿는,minneun,,
172,있,it,,
173,있는,inneun,,
174,받는,banneun,,
175,낮,nat,,
176,낮말,nanmal,,
177,믿는,minneun,,
178,좋,jot,,
179,좋네,jonne,,
180,했나,haenna,,
181,입니,imni,,
182,있는,inneun,,
183,밥맛,bammat,,
184,좋네,jonne,,
185,빛니다,binnida,,
186,존댓말,jondenmal,,
187,빛니다,binnida,,
188,합니다,hamnida,,
189,낮말이,nanmari,,
190,존댓말,jondenmal,,
191,앞마당,ammadang,,
192,받는,banneun,,
193,끝나,kkeunna,,
194,밥맛,bammat,,
195,좋네,jonne,,
196,빛니,binni,,
197,학년,hangnyeon,,
198,닦는,dangneun,,
199,작년,jangnyeon,,
200,국물,gungmul,,
201,곬에서,golseseo,,
202,않아,ana,,
203,삯이,saksi,,
204,옰이,olsi,,
205,않다,anta,,
206,몫이,moksi,,
207,않아,ana,,
208,곬이,golsi,,
209,잃다,ilta,,
210,점잖게,jeomjanke,,
211,홅다가,holdaga,,
212,읊었다,eulpeotda,,
213,않아요,anayo,,
214,앉아요,anjayo,,
215,읊어요,eulpeoyo,,
216,잃다가,iltaga,,
217,핥아요,haltayo,,
218,옳다,olta,,
219,옰에,olse,,
220,않아,ana,,
221,읊어,eulpeo,,
222,핥아,halta,,
223,핥다,halda,,
224,잃다,ilta,,
225,핥다가,haldaga,,
226,뚫어서,ttuleoseo,,
227,않다가,antaga,,
228,읊었다,eulpeotda,,
229,핥다가,haldaga,,
230,몫까지,mokkkaji,?,
231,읊다,eupda,,
232,홅다가,holdaga,,
233,얇아서,yalbaseo,,
234,잎사귀,ipsagwi,,
235,파랗다,parata,,
236,옵니다,omnida,,
237,읊었다,eulpeotda,,
238,없어요,eopseoyo,,
239,엾다,yeopda,,
240,없지,eopji,,
241,밝지,bakji,,
242,높다,nopda,,
243,환희,hwanhui,,
244,밟을까,balbeulkka,,
245,바,ba,,
246,엾다,yeopda,,
247,읊어요,eulpeoyo,,
248,없어요,eopseoyo,,
249,과자,gwaja,,
250,얇아,yalba,,
251,없어,eopseo,,
252,받아,bada,,
253,짧다가,jjaldaga,,
254,읊기,eupgi,,
255,좋아요,joayo,,
256,갔어요,gasseoyo,,
257,뚫,ttul,,
258,붙다,butda,,
259,얹어서,eonjeoseo,,
260,않고,anko,,
261,닮았다,dalmatda,,
262,최소,choeso,,
263,했어요,haesseoyo,,
264,닭으로,dalgeuro,,
265,닮았다,dalmatda,,
266,닭으로,dalgeuro,,
267,많,man,,
268,화,hwa,,
269,홅다가,holdaga,,
270,습니다,seumnida,,
