Index,Syllable,Character Slot 1,Character Slot 2,Character Slot 3
1,가,ㄱ,ㅏ,
2,각,ㄱ,ㅏ,ㄱ
3,갂,ㄱ,ㅏ,ㄲ
4,갃,ㄱ,ㅏ,ㄳ
5,간,ㄱ,ㅏ,ㄴ
6,갅,ㄱ,ㅏ,ㄵ
7,갆,ㄱ,ㅏ,ㄶ
8,갇,ㄱ,ㅏ,ㄷ
9,갈,ㄱ,ㅏ,ㄹ
10,갉,ㄱ,ㅏ,ㄺ
11,갊,ㄱ,ㅏ,ㄻ
12,갋,ㄱ,ㅏ,ㄼ
13,갌,ㄱ,ㅏ,ㄽ
14,갍,ㄱ,ㅏ,ㄾ
15,갎,ㄱ,ㅏ,ㄿ
16,갏,ㄱ,ㅏ,ㅀ
17,감,ㄱ,ㅏ,ㅁ
18,갑,ㄱ,ㅏ,ㅂ
19,값,ㄱ,ㅏ,ㅄ
20,갓,ㄱ,ㅏ,ㅅ
21,갔,ㄱ,ㅏ,ㅆ
22,강,ㄱ,ㅏ,ㅇ
23,갖,ㄱ,ㅏ,ㅈ
24,갗,ㄱ,ㅏ,ㅊ
25,갘,ㄱ,ㅏ,ㅋ
26,같,ㄱ,ㅏ,ㅌ
27,갚,ㄱ,ㅏ,ㅍ
28,갛,ㄱ,ㅏ,ㅎ
29,개,ㄱ,ㅐ,
30,객,ㄱ,ㅐ,ㄱ
31,갞,ㄱ,ㅐ,ㄲ
32,갟,ㄱ,ㅐ,ㄳ
33,갠,ㄱ,ㅐ,ㄴ
34,갡,ㄱ,ㅐ,ㄵ
35,갢,ㄱ,ㅐ,ㄶ
36,갣,ㄱ,ㅐ,ㄷ
37,갤,ㄱ,ㅐ,ㄹ
38,갥,ㄱ,ㅐ,ㄺ
39,갦,ㄱ,ㅐ,ㄻ
40,갧,ㄱ,ㅐ,ㄼ
41,갨,ㄱ,ㅐ,ㄽ
42,갩,ㄱ,ㅐ,ㄾ
43,갪,ㄱ,ㅐ,ㄿ
44,갫,ㄱ,ㅐ,ㅀ
45,갬,ㄱ,ㅐ,ㅁ
46,갭,ㄱ,ㅐ,ㅂ
47,갮,ㄱ,ㅐ,ㅄ
48,갯,ㄱ,ㅐ,ㅅ
49,갰,ㄱ,ㅐ,ㅆ
50,갱,ㄱ,ㅐ,ㅇ
51,갲,ㄱ,ㅐ,ㅈ
52,갳,ㄱ,ㅐ,ㅊ
53,갴,ㄱ,ㅐ,ㅋ
54,갵,ㄱ,ㅐ,ㅌ
55,갶,ㄱ,ㅐ,ㅍ
56,갷,ㄱ,ㅐ,ㅎ
57,갸,ㄱ,ㅑ,
58,갹,ㄱ,ㅑ,ㄱ
59,갺,ㄱ,ㅑ,ㄲ
60,갻,ㄱ,ㅑ,ㄳ
61,갼,ㄱ,ㅑ,ㄴ
62,갽,ㄱ,ㅑ,ㄵ
63,갾,ㄱ,ㅑ,ㄶ
64,갿,ㄱ,ㅑ,ㄷ
65,걀,ㄱ,ㅑ,ㄹ
66,걁,ㄱ,ㅑ,ㄺ
67,걂,ㄱ,ㅑ,ㄻ
68,걃,ㄱ,ㅑ,ㄼ
69,걄,ㄱ,ㅑ,ㄽ
70,걅,ㄱ,ㅑ,ㄾ
71,걆,ㄱ,ㅑ,ㄿ
72,걇,ㄱ,ㅑ,ㅀ
