Conference,School,Primary,Secondary,Third,Fourth,Kevin,Old Conference,School Name,City,State,Primary-R,Primary-G,Primary-B,Secondary-R,Secondary-G,Secondary-B,Third-R,Third-G,Third-B,Fourth-R,Fourth-G,Fourth-B
ACC,Boston College,98002E,BC9B6A,726158,,1,ACC,Boston College,Chestnut Hill,Massachusetts,152,0,46,188,155,106,114,97,88,,,
ACC,Clemson,F56600,522D80,,,2,ACC,Clemson University,Clemson,South Carolina,245,102,0,82,45,128,,,,,,
ACC,Duke,003087,FFFFFF,,,3,ACC,Duke University,Durham,North Carolina,0,48,135,255,255,255,,,,,,
ACC,Florida State,782F40,CEB888,FFFFFF,,4,ACC,Florida State University,Tallahassee,Florida,120,47,64,206,184,136,255,255,255,,,
ACC,Georgia Tech,B3A369,A28D5B,003057,,5,ACC,Georgia Institute of Technology-Main Campus,Atlanta,Georgia,179,163,105,162,141,91,0,48,87,,,
ACC,Louisville,AD0000,000000,FDB913,,6,ACC,University of Louisville,Louisville,Kentucky,173,0,0,0,0,0,253,185,19,,,
ACC,Miami,F47321,005030,FFFFFF,,7,ACC,University of Miami,Coral Gables,Florida,244,115,33,0,80,48,255,255,255,,,
ACC,North Carolina,7BAFD4,FFFFFF,,,8,ACC,University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,123,175,212,255,255,255,,,,,,
ACC,North Carolina State,CC0000,000000,FFFFFF,,9,ACC,North Carolina State University at Raleigh,Raleigh,North Carolina,204,0,0,0,0,0,255,255,255,,,
ACC,Pittsburgh,003594,FFB81C,,,10,ACC,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,Pennsylvania,0,53,148,255,184,28,,,,,,
ACC,Syracuse,F76900,FFFFFF,000E54,,11,ACC,Syracuse University,Syracuse,New York,247,105,0,255,255,255,0,14,84,,,
ACC,Virginia,232D4B,F84C1E,,,12,ACC,University of Virginia-Main Campus,Charlottesville,Virginia,35,45,75,248,76,30,,,,,,
ACC,Virginia Tech,630031,CF4420,,,13,ACC,Virginia Polytechnic Institute and State University,Blacksburg,Virginia,99,0,49,207,68,32,,,,,,
